FeatureID,UFID,lat,lon,x_km,y_km,Diam_km,zp_slope,davg,dh_D,dv_D,davg_D,x_m,y_m,D_m,rim_sd,scaled_sd
2322,p003c2322,-87.031491,84.372185,89.601294,8.829402,0.169115,0.312395,8.643539,0.047490,0.039034,0.051110,89601.29355,8829.402469,169.114867,1.388385,0.160627
2323,p003c2323,-87.025907,84.669165,89.814575,8.380600,0.307717,0.512113,13.144318,0.040068,0.040385,0.042716,89814.57462,8380.600052,307.717374,0.820674,0.062436
2324,p003c2324,-87.018277,84.798228,90.063783,8.199254,0.097500,0.371220,3.120705,0.026595,0.024169,0.032007,90063.78259,8199.254022,97.500408,0.623705,0.199860
2325,p003c2325,-87.017817,84.881006,90.089445,8.070373,0.085654,1.673042,3.574827,0.027950,0.015512,0.041736,90089.44474,8070.372985,85.653549,1.002604,0.280462
2326,p003c2326,-87.020458,85.012205,90.027856,7.857092,0.366794,0.317725,21.495814,0.042102,0.050280,0.058605,90027.85580,7857.092076,366.794230,2.837936,0.132023
2327,p003c2327,-87.010664,85.141808,90.341504,7.678597,0.178570,1.390806,7.443768,0.035606,0.038748,0.041686,90341.50409,7678.597498,178.569540,1.562300,0.209880
2328,p003c2328,-87.028220,85.047534,89.798037,7.781246,0.110246,0.919351,4.276311,0.030716,0.027191,0.038789,89798.03673,7781.246072,110.245561,0.821546,0.192116
2344,p003c2344,-87.021429,84.162600,89.872138,9.188152,0.295913,0.205333,17.204033,0.050827,0.048170,0.058139,89872.13833,9188.152010,295.912638,3.367043,0.195712
2349,p003c2349,-87.015285,84.382805,90.092316,8.860926,0.273877,0.524436,7.340993,0.014734,0.021901,0.026804,90092.31610,8860.926452,273.876881,1.772265,0.241420
2446,p003c2446,-87.017082,83.516530,89.893878,10.215844,0.240926,1.378237,5.605634,0.014878,0.023839,0.023267,89893.87814,10215.843560,240.926053,0.938838,0.167481
2447,p003c2447,-87.030806,83.950623,89.554594,9.490604,0.060131,0.795369,2.460603,0.029300,0.024065,0.040921,89554.59396,9490.604070,60.130971,0.613100,0.249167
2448,p003c2448,-87.013581,83.834875,90.054868,9.727631,0.225044,1.919995,11.033930,0.047524,0.041153,0.049030,90054.86764,9727.631049,225.043848,1.793273,0.162523
2449,p003c2449,-87.026767,83.952509,89.676778,9.500568,0.081901,1.046563,2.374394,0.025239,0.015700,0.028991,89676.77818,9500.567592,81.900512,0.854050,0.359692
2450,p003c2450,-87.023779,83.677716,89.720303,9.940536,0.082515,2.751871,1.562255,0.011731,0.017753,0.018933,89720.30304,9940.535693,82.514797,0.525364,0.336286
2453,p003c2453,-87.020340,83.865305,89.856122,9.657886,0.060386,1.794228,1.195662,0.018367,0.013532,0.019800,89856.12156,9657.886338,60.385787,0.306793,0.256588
2468,p003c2468,-87.031113,84.253314,89.594212,9.016428,0.075500,0.954119,2.834642,0.022866,0.031442,0.037545,89594.21237,9016.427980,75.499889,0.303745,0.107155
2483,p003c2483,-87.007903,83.646319,90.193601,10.043008,0.084208,1.286444,2.569725,0.018045,0.014985,0.030516,90193.60090,10043.008160,84.208453,1.012608,0.394053
2486,p003c2486,-87.011896,83.676802,90.078507,9.981677,0.079343,0.756617,1.912932,0.021901,0.017552,0.024110,90078.50696,9981.677387,79.343197,0.370192,0.193521
2487,p003c2487,-87.026848,84.340559,89.736611,8.892753,0.131937,1.205443,2.898461,0.020849,0.017798,0.021969,89736.61112,8892.753085,131.937067,0.429561,0.148203
