K,synthetic_area,total_area,area_lt_1m,area_lt_100m
10000000000.0,909.397426890909,1422.457023310974,156.77648648433706,529.5478510060084
13894954943.73136,1263.6036272594413,1776.6632236795062,217.84022159363718,735.8043530278253
19306977288.832535,1755.7715467505525,2268.8311431706175,302.68800639760565,1022.396833272308
26826957952.79727,2439.6366533584446,2952.69624977851,420.58362109025995,1420.6157932932342
37275937203.149376,3389.864137749115,3902.9237341691796,584.3990465120546,1973.9392440162674
51794746792.31202,4710.200945939471,5223.260542359536,812.0198420444565,2742.7796857269177
71968567300.11528,6544.802991975005,7057.86258839507,1128.2979118623623,3811.0800153757327
100000000000.0,9093.974268909089,9607.033865329155,1567.7648648433706,5295.478510060084
138949549437.3136,12636.036272594414,13149.09586901448,2178.4022159363717,7358.0435302782535
193069772888.32455,17557.71546750545,18070.775063925517,3026.880063976044,10223.968332723036
268269579527.97272,24396.36653358445,24909.426130004515,4205.8362109026,14206.157932932341
372759372031.4938,33898.64137749115,34411.70097391121,5843.990465120545,19739.392440162672
517947467923.1202,47102.009459394714,47615.069055814776,8120.198420444564,27427.796857269175
719685673001.1528,65448.02991975004,65961.0895161701,11282.979118623625,38110.80015375733
1000000000000.0,90939.7426890909,91452.80228551096,15677.648648433704,52954.78510060084
