area,ID,latitude,longitude,PSR_ID,perimeter
124.330,1181,-82.482,355.004,SP_824820_3550120,75.141
61.238,1185,-82.393,357.661,SP_823950_3576610,73.146
300.589,1182,-82.174,11.110,SP_821760_0111040,74.969
166.374,1183,-80.970,35.736,SP_809710_0357350,74.853
79.788,1186,-81.648,65.222,SP_816480_0652210,35.855
10.134,125,-80.451,40.174,SP_804520_0401760,26.280
99.882,137,-80.226,42.429,SP_802260_0424290,108.600
95.332,139,-81.969,25.095,SP_819690_0250940,70.440
19.386,157,-81.434,324.624,SP_814340_3246240,28.680
37.537,163,-80.077,45.661,SP_800780_0456630,59.040
119.567,165,-82.853,8.053,SP_828530_0080500,105.480
102.211,182,-83.049,350.540,SP_830490_3505380,105.720
32.494,201,-83.264,9.077,SP_832640_0090770,27.960
11.916,215,-82.588,28.517,SP_825890_0285130,33.000
15.300,225,-83.613,352.852,SP_836140_3528490,26.160
1.951,220,-80.608,47.075,SP_806080_0470750,24.480
85.403,226,-80.791,45.507,SP_807910_0455060,97.200
15.415,229,-81.697,319.620,SP_816970_3196200,31.920
21.334,230,-81.172,44.142,SP_811730_0441340,49.200
22.756,231,-81.845,321.171,SP_818450_3211710,42.360
11.815,232,-80.964,314.116,SP_809640_3141160,18.120
17.993,235,-80.465,49.105,SP_804650_0491050,24.360
98.377,243,-81.444,317.226,SP_814440_3172250,78.840
33.419,247,-81.209,46.036,SP_812090_0460390,85.200
13.928,252,-80.454,308.857,SP_804590_3088780,17.280
1.188,249,-81.106,47.703,SP_811060_0477030,6.360
11.729,253,-81.034,48.306,SP_810340_0483070,37.320
13.273,256,-83.995,351.488,SP_839950_3514880,17.880
17.662,258,-83.724,19.518,SP_837240_0195180,23.760
15.109,259,-80.650,50.761,SP_806510_0507610,45.120
143.024,270,-83.767,338.772,SP_837670_3387710,72.360
194.951,271,-84.142,5.947,SP_841420_0059530,123.720
19.192,272,-84.106,342.352,SP_841060_3423520,34.920
41.083,273,-84.243,346.818,SP_842430_3468180,33.480
10.415,285,-81.624,309.421,SP_816240_3094250,24.240
103.846,287,-84.577,1.709,SP_845770_0017070,83.760
17.356,290,-84.685,353.645,SP_846850_3536460,25.800
11.808,318,-83.878,321.110,SP_838780_3211110,24.120
14.342,327,-84.214,323.223,SP_842140_3232340,26.400
12.438,330,-83.136,311.923,SP_831370_3119250,27.960
12.269,334,-85.406,347.625,SP_854060_3476220,22.560
377.809,337,-81.690,305.380,SP_816910_3053810,162.720
17.708,346,-83.889,314.332,SP_838890_3143320,21.720
25.463,349,-84.242,42.106,SP_842420_0421060,25.200
43.542,353,-84.607,323.236,SP_846070_3232410,61.200
12.110,360,-82.054,58.327,SP_820540_0583270,21.720
22.471,363,-83.008,53.512,SP_830080_0535120,27.120
12.427,379,-82.241,59.574,SP_822410_0595740,19.680
19.544,384,-84.904,319.648,SP_849040_3196480,31.200
46.526,387,-85.059,323.808,SP_850590_3238160,88.440
12.931,389,-86.028,344.340,SP_860280_3443410,28.200
79.178,394,-81.761,61.919,SP_817610_0619190,45.120
74.531,401,-83.992,309.129,SP_839920_3091290,64.920
315.029,1189,-84.458,313.432,SP_844580_3134320,340.920
42.718,432,-85.360,317.758,SP_853600_3177620,57.960
13.741,434,-84.603,308.044,SP_846040_3080410,38.400
11.599,438,-84.370,305.734,SP_843700_3057300,21.720
18.475,440,-85.373,45.266,SP_853730_0452650,24.000
10.138,443,-83.562,299.553,SP_835620_2995530,23.040
22.835,447,-84.797,307.005,SP_847970_3070080,51.840
16.582,450,-84.942,51.860,SP_849420_0518590,21.720
98.050,461,-84.289,56.343,SP_842890_0563440,56.280
17.467,463,-83.509,297.768,SP_835090_2977670,22.800
120.578,466,-86.404,31.443,SP_864040_0314430,55.200
10.094,469,-83.720,297.531,SP_837200_2975300,19.680
237.510,479,-86.744,21.858,SP_867440_0218610,162.000
139.594,482,-85.357,49.866,SP_853570_0498630,86.280
11.495,489,-86.902,27.874,SP_869020_0278760,27.960
127.418,498,-85.415,307.840,SP_854150_3078410,81.120
183.107,509,-84.552,60.281,SP_845510_0602900,104.280
130.658,511,-83.055,67.443,SP_830550_0674490,132.360
12.791,521,-85.956,306.389,SP_859560_3063890,20.520
33.728,533,-87.366,329.225,SP_873660_3292250,36.360
132.631,534,-86.355,48.829,SP_863550_0488280,84.360
11.268,540,-87.575,332.977,SP_875750_3329770,17.640
30.654,543,-87.127,40.682,SP_871270_0406840,30.240
10.919,558,-86.925,48.276,SP_869250_0482770,18.480
1017.976,561,-87.493,357.877,SP_874930_3578760,171.840
11.444,569,-86.787,53.664,SP_867870_0536640,16.200
17.554,570,-83.205,73.619,SP_832050_0736210,30.240
19.775,573,-84.398,289.965,SP_843980_2899650,39.120
20.495,578,-87.256,312.056,SP_872560_3120600,34.440
23.281,579,-87.809,325.161,SP_878090_3251650,33.120
49.608,586,-84.943,290.869,SP_849430_2908700,60.000
11.257,605,-87.853,318.505,SP_878530_3185060,16.800
24.347,615,-86.793,60.947,SP_867930_0609460,27.840
17.276,616,-85.890,68.043,SP_858910_0680440,24.360
101.851,619,-87.593,312.570,SP_875930_3125710,54.480
10.062,622,-83.886,283.934,SP_838860_2839350,17.400
11.088,623,-83.723,283.625,SP_837240_2836250,21.600
5.710,629,-86.760,295.922,SP_867600_2959220,15.600
14.249,630,-86.867,297.314,SP_868670_2973140,27.840
55.739,656,-88.722,346.366,SP_887220_3463610,49.080
22.910,657,-86.181,72.465,SP_861810_0724650,24.240
43.056,665,-83.631,280.125,SP_836320_2801250,55.200
14.234,668,-84.098,79.764,SP_840980_0797630,19.560
58.547,680,-86.259,284.854,SP_862590_2848540,49.920
55.408,683,-88.997,19.199,SP_889970_0191990,36.840
1075.518,689,-88.026,45.279,SP_880260_0452790,166.200
60.426,690,-89.038,337.786,SP_890390_3377770,51.360
139.115,700,-83.259,82.073,SP_832600_0820620,124.560
44.323,701,-88.997,317.091,SP_889970_3170870,47.520
45.785,709,-83.666,84.011,SP_836660_0840100,76.200
39.431,716,-83.412,274.909,SP_834150_2749360,101.880
36.306,717,-83.306,85.503,SP_833060_0855030,53.640
29.081,728,-83.076,86.604,SP_830760_0866010,64.920
14.886,734,-83.504,272.097,SP_835040_2720960,22.200
28.660,736,-88.317,80.983,SP_883170_0809830,25.680
73.786,746,-82.891,271.356,SP_828910_2713550,60.600
53.294,752,-89.506,280.689,SP_895060_2806850,43.920
62.251,757,-84.182,271.034,SP_841820_2710340,72.840
663.959,767,-87.146,84.075,SP_871460_0840750,132.240
20.714,776,-85.197,267.152,SP_851970_2671550,36.720
243.392,779,-88.312,269.144,SP_883120_2691430,108.000
13.990,783,-87.660,262.339,SP_876600_2623440,30.360
233.698,786,-89.645,128.203,SP_896450_1282030,70.320
439.222,1184,-83.524,91.015,SP_835240_0910150,413.280
25.358,807,-83.859,263.096,SP_838590_2630960,25.920
46.933,813,-87.389,251.247,SP_873890_2512470,35.760
15.563,815,-88.913,150.762,SP_889130_1507620,24.960
68.591,817,-86.980,107.833,SP_869800_1078330,57.000
183.312,820,-88.100,114.790,SP_881000_1147820,100.920
2.815,818,-84.551,258.398,SP_845510_2583980,18.000
13.176,823,-84.565,257.425,SP_845640_2574190,41.760
11.099,832,-87.832,126.380,SP_878330_1263810,29.640
61.506,833,-87.443,118.839,SP_874430_1188390,47.400
88.607,836,-88.728,168.880,SP_887280_1688800,45.840
11.624,847,-88.528,184.689,SP_885280_1846930,25.800
50.702,853,-88.322,147.506,SP_883220_1475060,44.880
16.553,855,-83.827,255.293,SP_838270_2552930,20.400
10.897,857,-88.267,156.869,SP_882670_1568690,15.480
548.953,872,-88.249,216.455,SP_882490_2164550,168.840
10.361,873,-86.530,238.146,SP_865300_2381460,18.240
16.027,895,-86.267,234.990,SP_862670_2349900,26.520
15.613,900,-82.328,253.426,SP_823280_2534270,23.880
11.023,912,-85.211,238.442,SP_852110_2384420,18.960
10.382,926,-84.923,236.228,SP_849230_2362280,16.560
35.881,941,-84.356,123.921,SP_843560_1239210,42.360
326.804,942,-83.891,118.470,SP_838910_1184700,100.920
12.078,964,-85.673,211.965,SP_856730_2119650,23.880
13.979,974,-85.549,209.672,SP_855490_2096710,29.040
76.759,989,-84.355,225.114,SP_843550_2251140,58.680
28.861,991,-84.674,219.287,SP_846740_2192870,30.360
16.009,996,-85.282,206.103,SP_852830_2061020,22.080
17.694,1000,-85.533,165.564,SP_855330_1655640,20.880
73.426,1014,-84.754,150.083,SP_847550_1500770,78.840
20.693,1015,-84.800,206.179,SP_848000_2061800,34.200
15.264,1027,-84.696,155.524,SP_846960_1555270,30.120
15.804,1031,-82.470,229.151,SP_824700_2291520,22.560
20.772,1032,-84.944,165.434,SP_849450_1654340,28.320
11.452,1038,-83.282,221.839,SP_832830_2218380,18.120
72.346,1041,-84.396,207.775,SP_843960_2077750,42.840
11.596,1046,-84.772,165.013,SP_847720_1650130,23.760
20.005,1054,-82.445,227.137,SP_824450_2271370,22.800
371.657,1060,-85.023,182.607,SP_850230_1826070,127.680
30.611,1063,-84.694,175.355,SP_846940_1753570,45.120
32.076,1065,-84.396,162.104,SP_843960_1621040,30.960
15.422,1074,-82.273,224.347,SP_822730_2243490,34.200
30.449,1082,-82.305,222.658,SP_823050_2226590,36.600
16.276,1091,-81.879,135.378,SP_818790_1353780,23.040
16.646,1095,-82.291,221.109,SP_822920_2211100,25.200
114.754,1103,-83.295,149.545,SP_832950_1495450,130.200
16.088,1119,-82.335,216.751,SP_823350_2167510,19.080
194.861,1126,-83.739,163.086,SP_837400_1630860,97.920
113.461,1150,-83.470,175.773,SP_834700_1757740,73.800
155.909,1156,-80.424,135.480,SP_804240_1354850,150.240
18.803,1174,-80.671,140.867,SP_806710_1408660,53.880
10.735,1179,-81.986,156.866,SP_819860_1568660,17.400
1.022,3216,-77.501,140.495,SP_775010_1404950,5.040
2.146,3217,-80.297,176.227,SP_802970_1762270,7.200
1.195,3214,-79.081,151.579,SP_790810_1515790,8.160
1.080,3215,-77.583,219.019,SP_775830_2190190,4.560
3.456,3212,-80.232,190.931,SP_802320_1909310,8.400
1.397,3213,-77.645,140.910,SP_776450_1409100,5.520
1.094,3210,-79.129,151.831,SP_791290_1518310,5.520
9.029,3211,-80.428,176.943,SP_804280_1769430,14.160
1.584,3224,-79.463,201.958,SP_794630_2019580,6.240
1.483,3225,-76.429,224.018,SP_764290_2240180,6.480
6.149,3222,-80.296,179.286,SP_802960_1792860,14.880
1.469,3223,-77.532,218.557,SP_775320_2185570,6.000
1.714,3220,-79.221,154.540,SP_792210_1545400,7.680
4.262,3221,-80.014,192.992,SP_800140_1929920,9.360
3.211,3218,-76.914,137.680,SP_769140_1376800,8.160
1.138,3219,-80.241,185.480,SP_802410_1854800,5.280
1.037,3200,-78.909,213.060,SP_789090_2130600,5.040
27.792,3201,-73.701,235.575,SP_737010_2355750,29.520
2.822,3198,-77.026,224.770,SP_770260_2247700,9.600
2.520,3199,-78.687,214.667,SP_786870_2146670,7.200
3.096,3196,-80.604,169.619,SP_806040_1696190,8.640
5.962,3197,-74.558,126.550,SP_745580_1265500,11.280
3.182,3194,-77.881,139.369,SP_778810_1393690,8.160
4.594,3195,-79.018,213.101,SP_790180_2131010,10.080
1.570,3208,-79.478,205.377,SP_794780_2053770,6.240
3.053,3209,-77.786,141.280,SP_777860_1412800,7.920
26.770,3206,-80.314,194.867,SP_803140_1948670,28.080
2.275,3207,-80.331,190.488,SP_803310_1904880,6.960
2.045,3204,-79.339,152.085,SP_793390_1520850,6.480
1.037,3205,-78.814,147.522,SP_788140_1475220,4.800
4.320,3202,-79.637,154.989,SP_796370_1549890,10.320
1.224,3203,-80.425,169.006,SP_804250_1690060,5.040
1.022,3248,-77.690,214.312,SP_776900_2143120,5.040
3.658,3249,-73.966,230.762,SP_739660_2307620,9.120
5.170,3246,-76.113,223.582,SP_761130_2235820,10.560
1.037,3247,-78.660,206.725,SP_786600_2067250,4.560
2.563,3244,-78.065,212.446,SP_780650_2124460,7.200
1.627,3245,-79.157,201.402,SP_791570_2014020,6.000
1.310,3242,-77.041,219.082,SP_770410_2190820,5.520
2.405,3243,-79.035,156.653,SP_790350_1566530,7.440
1.310,3256,-79.633,179.643,SP_796330_1796430,6.720
3.989,3257,-79.568,182.066,SP_795680_1820660,9.360
1.123,3254,-79.125,198.489,SP_791250_1984890,5.040
1.800,3255,-75.448,224.722,SP_754480_2247220,6.720
3.571,3252,-77.783,213.192,SP_777830_2131920,8.880
2.059,3253,-72.757,126.377,SP_727570_1263770,7.200
1.483,3250,-78.129,210.832,SP_781290_2108320,5.760
3.931,3251,-79.163,200.017,SP_791630_2000170,9.600
1.526,3232,-77.599,216.817,SP_775990_2168170,6.000
1.742,3233,-78.165,212.721,SP_781650_2127210,6.240
1.094,3230,-79.965,188.091,SP_799650_1880910,6.960
9.144,3231,-74.316,129.104,SP_743160_1291040,13.680
1.138,3228,-78.282,212.688,SP_782820_2126880,5.040
2.246,3229,-79.883,191.774,SP_798830_1917740,6.960
1.080,3226,-78.508,148.685,SP_785080_1486850,6.720
2.246,3227,-79.173,204.882,SP_791730_2048820,6.720
1.483,3240,-73.976,231.419,SP_739760_2314190,5.520
1.296,3241,-75.967,224.225,SP_759670_2242250,5.040
13.018,3238,-79.880,188.730,SP_798800_1887300,20.160
3.485,3239,-73.766,232.036,SP_737660_2320360,8.640
1.382,3236,-79.189,202.520,SP_791890_2025200,6.000
4.968,3237,-77.207,141.412,SP_772070_1414120,12.000
2.923,3234,-76.701,221.458,SP_767010_2214580,9.360
1.483,3235,-78.366,210.744,SP_783660_2107440,6.000
2.592,3280,-77.294,148.388,SP_772940_1483880,7.200
4.651,3281,-76.487,143.018,SP_764870_1430180,14.400
3.485,3278,-74.400,226.276,SP_744000_2262760,8.880
3.168,3279,-78.805,195.473,SP_788050_1954730,14.880
1.325,3276,-74.067,227.589,SP_740670_2275890,5.760
1.152,3277,-79.152,175.212,SP_791520_1752120,5.040
2.866,3274,-78.156,204.537,SP_781560_2045370,7.680
2.002,3275,-79.102,172.052,SP_791020_1720520,9.120
1.685,3288,-79.011,182.711,SP_790110_1827110,6.000
59.933,3289,-78.784,194.167,SP_787840_1941670,67.920
14.299,3286,-79.056,184.037,SP_790560_1840370,22.080
2.606,3287,-76.824,146.134,SP_768240_1461340,10.560
3.974,3284,-79.127,177.618,SP_791270_1776180,9.360
2.736,3285,-77.331,210.782,SP_773310_2107820,7.920
2.016,3282,-76.823,145.396,SP_768230_1453960,7.440
6.595,3283,-78.960,190.682,SP_789600_1906820,12.000
11.606,3264,-79.059,194.994,SP_790590_1949940,15.600
1.166,3265,-74.084,131.724,SP_740840_1317240,4.800
19.469,3262,-73.663,230.280,SP_736630_2302800,20.880
1.915,3263,-74.576,133.074,SP_745760_1330740,6.480
52.949,3260,-79.618,183.276,SP_796180_1832760,36.480
2.290,3261,-76.653,141.797,SP_766530_1417970,7.920
5.112,3258,-77.083,143.835,SP_770830_1438350,10.800
1.310,3259,-78.667,157.384,SP_786670_1573840,5.280
1.253,3272,-77.323,147.910,SP_773230_1479100,5.520
89.870,3273,-78.280,155.364,SP_782800_1553640,43.200
1.426,3270,-76.519,142.420,SP_765190_1424200,6.000
1.310,3271,-79.197,185.866,SP_791970_1858660,5.280
1.483,3268,-75.806,138.624,SP_758060_1386240,6.720
6.019,3269,-79.320,178.546,SP_793200_1785460,11.040
1.958,3266,-76.120,220.071,SP_761200_2200710,6.240
1.397,3267,-79.351,181.604,SP_793510_1816040,6.000
1.670,3312,-78.616,182.872,SP_786160_1828720,6.000
1.166,3313,-77.815,159.064,SP_778150_1590640,6.960
7.546,3310,-78.173,163.038,SP_781730_1630380,13.200
1.325,3311,-78.010,161.191,SP_780100_1611910,6.240
4.853,3308,-74.553,136.925,SP_745530_1369250,9.600
1.339,3309,-72.630,229.476,SP_726300_2294760,5.520
1.454,3306,-77.949,200.816,SP_779490_2008160,5.760
1.210,3307,-77.415,206.288,SP_774150_2062880,5.280
3.442,3320,-77.470,203.657,SP_774700_2036570,9.120
3.514,3321,-76.699,149.602,SP_766990_1496020,15.360
2.736,3318,-75.885,144.214,SP_758850_1442140,8.880
2.002,3319,-74.448,222.543,SP_744480_2225430,7.200
5.328,3316,-78.530,174.221,SP_785300_1742210,11.520
1.483,3317,-75.827,143.678,SP_758270_1436780,6.480
4.522,3314,-78.584,175.940,SP_785840_1759400,10.800
2.203,3315,-76.922,209.585,SP_769220_2095850,7.680
1.166,3296,-78.620,193.493,SP_786200_1934930,5.280
1.382,3297,-78.635,193.172,SP_786350_1931720,5.280
1.656,3294,-78.629,194.192,SP_786290_1941920,7.920
16.128,3295,-78.926,174.216,SP_789260_1742160,18.720
2.203,3292,-78.849,188.064,SP_788490_1880640,6.960
1.670,3293,-76.073,217.712,SP_760730_2177120,6.480
3.816,3290,-73.702,227.699,SP_737020_2276990,9.840
2.448,3291,-72.873,230.117,SP_728730_2301170,7.440
1.210,3304,-72.235,129.045,SP_722350_1290450,5.520
4.291,3305,-74.847,222.321,SP_748470_2223210,9.360
2.650,3302,-76.995,211.106,SP_769950_2111060,7.680
5.530,3303,-75.253,139.323,SP_752530_1393230,12.240
22.939,3300,-76.209,143.201,SP_762090_1432010,22.080
20.578,3301,-77.937,202.918,SP_779370_2029180,20.880
1.138,3298,-78.367,162.278,SP_783670_1622780,6.240
8.856,3299,-76.690,213.702,SP_766900_2137020,15.360
3.658,2926,-79.100,243.055,SP_791000_2430550,10.800
4.579,2935,-78.732,243.313,SP_787320_2433130,10.320
11.822,2920,-77.331,247.497,SP_773310_2474970,17.040
4.421,2921,-78.891,116.066,SP_788910_1160660,15.600
1.296,2913,-80.905,238.051,SP_809050_2380510,5.520
2.534,2918,-78.603,244.872,SP_786030_2448720,8.400
8.107,2903,-75.878,250.601,SP_758780_2506010,13.200
3.629,2911,-78.455,245.573,SP_784550_2455730,10.320
1.022,2966,-79.467,238.430,SP_794670_2384300,7.200
1.339,2968,-74.851,248.494,SP_748510_2484940,6.000
2.405,2958,-79.207,240.280,SP_792070_2402800,12.240
2.635,2964,-75.565,112.309,SP_755650_1123090,7.680
1.397,2955,-78.574,117.804,SP_785740_1178040,5.760
3.629,2956,-79.380,239.837,SP_793800_2398370,10.080
1.498,2946,-80.888,124.451,SP_808880_1244510,7.680
2.318,2947,-79.776,120.355,SP_797760_1203550,10.080
2.088,2866,-78.514,111.431,SP_785140_1114310,9.360
2.405,2867,-79.338,246.795,SP_793380_2467950,9.360
30.658,2860,-78.380,110.433,SP_783800_1104330,60.960
1.195,2863,-76.333,108.034,SP_763330_1080340,6.240
30.370,2857,-79.771,113.781,SP_797710_1137810,25.920
5.760,2859,-78.666,111.513,SP_786660_1115130,13.920
2.448,2851,-78.944,248.218,SP_789440_2482180,8.400
5.486,2855,-78.281,110.470,SP_782810_1104700,13.440
1.282,2894,-78.276,113.264,SP_782760_1132640,7.200
1.094,2895,-78.330,113.517,SP_783300_1135170,5.040
1.598,2885,-78.715,113.557,SP_787150_1135570,8.880
10.368,2892,-78.490,113.374,SP_784900_1133740,24.960
4.234,2881,-75.719,108.264,SP_757190_1082640,9.840
4.622,2883,-77.577,248.808,SP_775770_2488080,13.200
6.840,2872,-78.855,247.316,SP_788550_2473160,14.160
1.354,2874,-79.593,245.314,SP_795930_2453140,5.280
1.051,3070,-78.546,232.549,SP_785460_2325490,5.040
1.930,3072,-79.557,227.784,SP_795570_2277840,7.200
3.010,3065,-78.581,233.914,SP_785810_2339140,7.920
2.549,3066,-74.115,244.918,SP_741150_2449180,8.400
1.368,3059,-78.599,234.567,SP_785990_2345670,5.760
3.859,3063,-78.688,233.877,SP_786880_2338770,9.360
37.786,3047,-77.372,120.453,SP_773720_1204530,28.560
1.483,3052,-74.492,245.293,SP_744920_2452930,6.240
5.486,3099,-78.042,128.205,SP_780420_1282050,10.800
2.074,3101,-79.040,227.237,SP_790400_2272370,6.720
1.282,3091,-76.756,123.233,SP_767560_1232330,5.280
1.022,3097,-78.324,129.294,SP_783240_1292940,4.800
1.066,3085,-78.948,130.577,SP_789480_1305770,4.800
1.786,3088,-77.196,124.400,SP_771960_1244000,6.240
3.312,3073,-78.328,233.115,SP_783280_2331150,11.040
1.296,3083,-79.086,130.789,SP_790860_1307890,5.280
1.584,3000,-77.409,241.908,SP_774090_2419080,7.680
2.491,3005,-80.006,233.302,SP_800060_2333020,8.160
1.123,2992,-79.465,123.745,SP_794650_1237450,8.400
1.584,2997,-79.699,235.093,SP_796990_2350930,6.000
1.008,2975,-76.873,244.415,SP_768730_2444150,4.560
1.786,2979,-79.150,238.081,SP_791500_2380810,6.720
1.008,2970,-79.416,238.061,SP_794160_2380610,6.240
1.267,2972,-77.425,243.408,SP_774250_2434080,6.480
1.008,3044,-82.047,143.848,SP_820470_1438480,4.560
26.395,3045,-77.886,238.180,SP_778860_2381800,23.280
2.232,3030,-75.749,115.846,SP_757490_1158460,7.440
1.008,3037,-79.301,233.938,SP_793010_2339380,6.240
3.485,3019,-76.627,117.331,SP_766270_1173310,9.120
1.570,3025,-78.305,237.919,SP_783050_2379190,5.520
3.370,3007,-75.968,115.264,SP_759680_1152640,8.400
1.080,3015,-76.398,243.274,SP_763980_2432740,4.560
2.722,3141,-80.481,209.282,SP_804810_2092820,7.680
1.066,3146,-76.774,129.540,SP_767740_1295400,4.800
1.166,3138,-78.452,224.372,SP_784520_2243720,5.520
1.800,3140,-79.981,213.896,SP_799810_2138960,6.000
2.448,3135,-78.405,224.791,SP_784050_2247910,7.920
1.426,3137,-76.150,126.565,SP_761500_1265650,6.240
1.368,3133,-80.050,145.343,SP_800500_1453430,13.920
2.102,3134,-81.230,200.740,SP_812300_2007400,6.960
1.166,3157,-78.083,136.584,SP_780830_1365840,4.800
1.642,3159,-79.502,214.321,SP_795020_2143210,6.720
2.693,3155,-79.700,213.249,SP_797000_2132490,7.920
33.638,3156,-73.618,238.609,SP_736180_2386090,28.080
1.238,3153,-74.458,123.475,SP_744580_1234750,5.760
2.275,3154,-78.049,223.923,SP_780490_2239230,6.960
8.222,3150,-81.379,170.825,SP_813790_1708250,17.040
4.205,3151,-78.639,221.263,SP_786390_2212630,9.840
1.613,3111,-80.546,144.494,SP_805460_1444940,8.880
2.650,3113,-80.324,217.061,SP_803240_2170610,8.160
3.859,3106,-78.525,228.959,SP_785250_2289590,9.600
2.275,3110,-73.881,241.629,SP_738810_2416290,7.200
2.304,3104,-76.066,237.434,SP_760660_2374340,7.440
1.296,3105,-81.357,209.256,SP_813570_2092560,5.760
1.598,3102,-78.750,131.733,SP_787500_1317330,5.760
1.253,3103,-78.657,131.555,SP_786570_1315550,5.280
3.096,3131,-75.273,123.553,SP_752730_1235530,8.880
1.037,3132,-81.679,190.948,SP_816790_1909480,5.760
1.109,3128,-79.279,138.992,SP_792790_1389920,6.720
1.066,3130,-78.286,133.910,SP_782860_1339100,4.800
1.037,3126,-81.470,199.159,SP_814700_1991590,5.280
1.094,3127,-81.029,154.091,SP_810290_1540910,6.000
1.181,3120,-80.646,147.346,SP_806460_1473460,4.800
9.173,3124,-76.335,125.718,SP_763350_1257180,14.160
2.030,3184,-80.957,177.489,SP_809570_1774890,6.960
4.968,3185,-79.475,210.853,SP_794750_2108530,10.320
1.051,3182,-78.783,216.826,SP_787830_2168260,6.000
